物理;ぶつり;physics。 natural law
和室;わしつ;Japanese style room
漏る;もる;leak or be leaky
丼;どんぶり;bowl
小量;しょうりょう;small amount
転がす;ころがす;roll or roll over
粉;こな;powder or flour
粒;つぶ;grain or drop
小麦;こむぎ;wheat
小麦粉;こむぎこ;flour
大麦;おおむぎ;barley
量る;はかる;measure or weigh
一帯;いったい;area or vicinity
取れる;とれる;be harvested or be cultivated
麦;むぎ;wheat
田畑;たはた;fields and rice paddies
炊事;すいじ;cooking
灯油;とうゆ;kerosene or lamp oil
電灯;でんとう;lamp or electric light
炎;ほのお;flame or blaze
スモッグ;スモッグ;smog
暦;こよみ;calendar or almanac
年月日;ねんがっぴ;date
皮;かわ;peel or fur
皮肉;ひにく;cynicism or irony
むける;むける;come off or peel
むく;むく;peel or pare
皮膚;ひふ;skin
毛皮;けがわ;fur
税関;ぜいかん;custom house or customs
毛糸;けいと;woolen yarn or wool
ブラシ;ブラシ;brush
尾;お;tail
結ぶ;むすぶ;tie or join
乱れる;みだれる;be disordered or be disturbed
そっと;そっと;softly or gently
ピン;ピン;hairpin or pin
染める;そめる;dye or color
いきなり;いきなり;all of a sudden or without warning
張る;はる;strain or be stretched
もむ;もむ;rub or massage
耳鼻科;じびか;otorhinology or ENT
唇;くちびる;lip or lips
臭い;におい;smell or odor
生臭い;なまぐさい;smelling of fish
臭う;におう;stink (unpleasant)
面倒臭い;めんどうくさい;troublesome or tiresome
匂う;におう;smell (pleasant)
ベスト;ベスト;best
解釈;かいしゃく;interpretation or explanation
居間;いま;living room
居る;おる;be present or stay (humble)
間;かん;interval or duration of time
まあ;まあ;well
同居;どうきょ;living together
土;つち;soil or ground
寄せる;よせる;draw near or draw up or gather
一層;いっそう;more or even more
高層;こうそう;high altitude or high-rise
そびえる;そびえる;tower
大層;たいそう;very or highly
履歴;りれき;history or personal history
履歴書;りれきしょ;resume or bio
覆う;おおう;cover or hide
戸籍;こせき;family register
ガラス戸;がらすど;glass door
成年;せいねん;majority or adult
薬品;やくひん;medicine or drug
戸棚;とだな;closet or cupboard
扉;とびら;door
うちわ;うちわ;round paper fan
羽根;はね;feather
翌日;よくじつ;the following day
翌朝;よくあさ;the following morning
翌年;よくねん;the following year
陸;おか;land or shore
新鮮;しんせん;fresh
市場;いちば;market or marketplace
鮮やか;あざやか;vivid
あり;あり;ant
群集;ぐんしゅう;crowd
群れ;むれ;crowd or herd
郡;ぐん;county
スケジュール;スケジュール;schedule
君;きみ;you
連れる;つれる;take along or bring along
任せる;まかせる;entrust to or leave it to
長所;ちょうしょ;strong point or merit
殴る;なぐる;hit or strike
要旨;ようし;gist or overview
脂;あぶら;fat or grease
脂肪;しぼう;fat or grease
すべすべ;すべすべ;smooth
肌;はだ;skin or surface
肌着;はだぎ;underwear
肌色;はだいろ;flesh color
コック;コック;cook or chef
領域;りょういき;territory or domain
胃腸;いちょう;stomach and intestines
腸;ちょう;intestines or entrails
肝心;かんじん;vital or essential
大胆;だいたん;boldness or daring
幕;まく;curtain
暮らす;くらす;live or earn one's livelihood
暮らし;くらし;living or livelihood
暮れ;くれ;dusk or the end (of a season or a year)
暮れる;くれる;grow dark
温暖;おんだん;warm or mild
お歳暮;おせいぼ;year-end gift
ぜいたく;ぜいたく;luxury or extravagance
わずか;わずか;few or little
不自由;ふじゆう;inconvenience or discomfort
調和;ちょうわ;harmony or agreement
望み;のぞみ;desire or hope
夕暮れ;ゆうぐれ;evening or twilight
仲良く;なかよく;harmoniously or amicably
王;おう;king
墓地;ぼち;graveyard or cemetery
墓参り;はかまいり;visit to a grave
芝生;しばふ;lawn or turf
芽;め;bud or sprout
茎;くき;stem
順々に;じゅんじゅんに;by turns or in order
つまむ;つまむ;munch on
推薦;すいせん;recommendation or nomination
沿岸;えんがん;coast or shore
荒れる;あれる;be wild or run waste
荒い;あらい;wild or reckless
荒い;あらい;harsh or rough
荒す;あらす;damage or ransack
慌ただしい;あわただしい;busy
慌てる;あわてる;be flurried or hurry
葬式;そうしき;funeral ceremony
儀式;ぎしき;ceremony or ritual
行儀;ぎょうぎ;manners or behavior
礼儀;れいぎ;good manners or courtesy
犠牲;ぎせい;sacrifice
悪;あく;evil or badness
憎む;にくむ;hate or detest
憎しみ;にくしみ;hatred or enmity
憎らしい;にくらしい;hateful or horrible
憎い;にくい;hateful or abominable
仏;ほとけ;buddha or Buddhist image
仏教;ぶっきょう;Buddhism
日;にち;Japan
お坊さん;おぼうさん;monk or priest
鳴らす;ならす;ring or sound
題名;だいめい;title
坊さん;ぼうさん;Buddhist priest
乗り遅れる;のりおくれる;miss
ホット;ホット;hot
国旗;こっき;national flag
日の丸;ひのまる;Rising Sun Flag or Japanese flag
筆者;ひっしゃ;writer
筆記試験;ひっきしけん;written examination
とがる;とがる;be sharp
筆記用具;ひっきようぐ;writing materials or pens and pencils
筆;ふで;writing brush or penmanship
竹;たけ;bamboo
笛;ふえ;flute or whistle
名簿;めいぼ;registry or name list
全身;ぜんしん;the whole body
筋肉;きんにく;muscle or sinews
筋道;すじみち;method or logic
筋;すじ;muscle
伸ばす;のばす;stretch or straighten
光;ひかり;light or flash
ぎっしり;ぎっしり;tightly
小;しょう;smallness or small size
食料;しょくりょう;food supplies
ふた;ふた;lid or cover
水色;みずいろ;sky blue or turquoise
透明;とうめい;transparent
座布団;ざぶとん;cushion
まし;まし;more or better
すり;すり;pickpocket
落とし物;おとしもの;lost property
突っ込む;つっこむ;thrust in or dash into
たった;たった;only or merely
ふわふわ;ふわふわ;soft
取り出す;とりだす;take out or pull out
布;ぬの;cloth
自己;じこ;oneself or self
切れ;きれ;sharpness
