物理;ぶつり;physics。 natural law
崩れる;くずれる;crumble or collapse
崖;がけ;cliff
ロープ;ロープ;rope
幸い;さいわい;happiness or good fortune
嵐;あらし;storm
たとえ;たとえ;even if or granting that
海峡;かいきょう;straits or channel
噂;うわさ;gossip or rumor
広まる;ひろまる;spread or be in general circulation
広める;ひろめる;spread or extend
わがまま;わがまま;selfishness or willfulness
田舎;いなか;country or countryside
校舎;こうしゃ;school building
歌声;うたごえ;singing voice
のどか;のどか;tranquil or peaceful
小雨;こさめ;drizzle
差す;さす;open (an umbrella)
柄;え;handle or grip
お嬢さん;おじょうさん;young lady or someone's daughter
婆さん;ばあさん;grandmother or old lady
娯楽;ごらく;amusement or pastime
裏門;うらもん;back gate
生涯;しょうがい;for life or lifetime
地;ち;ground or place
白菜;はくさい;nappa cabbage
漬け物;つけもの;pickle or pickled vegetable
潰す;つぶす;crush or smash
潰れる;つぶれる;crush
汽車;きしゃ;train
拡張;かくちょう;expansion or extension
印刷;いんさつ;printing
年賀;ねんが;New Year's card
賭ける;かける;bet or stake
連日;れんじつ;day after day or everyday
賑わう;にぎわう;bustle or enliven
ひねる;ひねる;twist or turn
蛇;へび;snake or serpent
蛍光灯;けいこうとう;fluorescent lamp
合図;あいず;signal or sign
車掌;しゃしょう;train conductor
芋;いも;potato or yam
菊;きく;chrysanthemum
華やか;はなやか;gorgeous or colorful
軽蔑;けいべつ;contempt or disdain
さっと;さっと;quickly or suddenly
議長;ぎちょう;chairman or president
学長;がくちょう;college president
にこやか;にこやか;smiling or beaming
閉会;へいかい;closing or adjournment
年始;ねんし;beginning of the year
中指;なかゆび;middle finger
挟む;はさむ;trap
揚げる;あげる;deep-fry
塔;とう;tower or pagoda
諦める;あきらめる;abandon or give up
誓う;ちかう;vow or swear
演奏;えんそう;musical performance
定期;ていき;fixed term or regular
包帯;ほうたい;bandage or dressing
撃つ;うつ;fire or shoot
支社;ししゃ;branch office
転勤;てんきん;transfer
府;ふ;urban prefecture
窮屈;きゅうくつ;tight or cramped
くっ付く;くっつく;stick or cling
ずらり;ずらり;line up neatly
かかと;かかと;heel
砂;すな;sand or grit
メーカー;メーカー;maker or manufacturer
予備;よび;reserve or spare
履物;はきもの;footwear
フルーツ;フルーツ;fruit
泥;どろ;mud or dirt
ほどく;ほどく;undo or unfasten
貨幣;かへい;money or currency
真珠;しんじゅ;pearl
慰める;なぐさめる;console or comfort
風呂場;ふろば;bathroom
へそ;へそ;the navel or the bellybutton
足音;あしおと;sound of footsteps
故郷;こきょう;hometown or birthplace
べたべた;べたべた;stick together
晩年;ばんねん;late in life
朗らか;ほがらか;cheerful or bright
枯れる;かれる;wither or die
花瓶;かびん;flower vase
空;から;emptiness or hollow
向き;むき;direction or turn
揃える;そろえる;align or make uniform
一旦;いったん;once or for a while
乞食;こじき;beggar
空中;くうちゅう;in the air or in the sky
網;あみ;net or netting
捕まえる;つかまえる;arrest or capture
蝶蝶;ちょうちょう;butterfly
寿命;じゅみょう;life span
亀;かめ;turtle or tortoise
羨ましい;うらやましい;envious or envy
ぱんだ;ぱんだ;panda
漕ぐ;こぐ;row
ウナギ;ウナギ;eel
鳩;はと;pigeon or dove
襲う;おそう;raid or attack
雛祭り;ひなまつり;Doll Festival
稽古;けいこ;practice or learning
商売;しょうばい;trade or business
歌舞伎;かぶき;kabuki
物凄い;ものすごい;tremendous
囁く;ささやく;whisper
咳;せき;cough
治まる;おさまる;settle down or be cured
喉;のど;the throat
唾;つば;saliva or spittle
吠える;ほえる;bark or bay
吊るす;つるす;hang
噛み付く;かみつく;bite at
きゅうり;きゅうり;cucumber
漬ける;つける;pickle or marinade
味噌;みそ;miso or soybean paste
思わず;おもわず;unintentionally or unconsciously
思いやり;おもいやり;thoughtfulness or kindness
お目に掛かる;おめにかかる;meet or have the honor of seeing
もしも;もしも;if or if ever
大して;たいして;very or greatly
どんなに;どんなに;how much
塞がる;ふさがる;close up
塞ぐ;ふさぐ;close or shut
屑;くず;waste or scraps
紙屑;かみくず;wastepaper
掻く;かく;scratch
掻き回す;かきまわす;stir up or agitate
祈り;いのり;prayer
撫でる;なでる;stroke or pat
卑怯;ひきょう;cowardice or meanness
憧れ;あこがれ;yearning or longing
憧れる;あこがれる;yearn after or adore
めでたい;めでたい;happy or fortunate
溺れる;おぼれる;drown or be drowned
御無沙汰;ごぶさた;be out of touch
汲む;くむ;collect or scoop up
バケツ;バケツ;bucket
溜め息;ためいき;sigh
溜まる;たまる;accumulate or store up
溜める;ためる;store or collect
伝染;でんせん;contagion or infection
苛め;いじめ;bullying
苛める;いじめる;ill-treat or abuse
遥か;はるか;far or distant
のぞく;のぞく;look or peep
曖昧;あいまい;ambiguous or vague
大晦日;おおみそか;new year's eve
股;また;crotch or groin
臆病;おくびょう;cowardice or timidity
車椅子;くるまいす;wheelchair
がたがた;がたがた;rattle
よける;よける;move out the way
渋い;しぶい;bitter or astringent
柿;かき;persimmon or persimmon tree
焚く;たく;start a fire
明瞭;めいりょう;clear or plain
眉;まゆ;eyebrow
眉毛;まゆげ;eyebrows
湯飲み;ゆのみ;teacup
割り箸;わりばし;disposable chopsticks
蛋白質;たんぱくしつ;protein
蜂;はち;bee
頂戴;ちょうだい;getting or receiving
元日;がんじつ;New Year's Day
初詣で;はつもうで;first shrine visit of the new year
お詫び;おわび;apologize
詫びる;わびる;apologize
刺さる;ささる;stick or be stuck
裂ける;さける;split or tear
釘;くぎ;nail or spike
錆びる;さびる;rust or get rusty
重たい;おもたい;heavy
餅;もち;rice cake
思い込む;おもいこむ;assume or believe
悪女;あくじょ;wicked woman or villainess
騙す;だます;deceive or cheat
親子;おやこ;parent and child
爽やか;さわやか;refreshing or clear
雀;すずめ;sparrow
お年玉;おとしだま;New Year's gift
甥;おい;nephew
便箋;びんせん;letter paper or stationery
嗅ぐ;かぐ;smell or sniff
炒める;いためる;stir-fry
